Date,GBP/USD
2015-01-02,0.6510100000000001
2015-01-05,0.6564399999999999
2015-01-06,0.65896
2015-01-07,0.6634399999999999
2015-01-08,0.66151
2015-01-09,0.66004
2015-01-12,0.65933
2015-01-13,0.65942
2015-01-14,0.65649
2015-01-15,0.65959
2015-01-16,0.6609
2015-01-19,0.66078
2015-01-20,0.65963
2015-01-21,0.6615300000000001
2015-01-22,0.6643899999999999
2015-01-23,0.66572
2015-01-26,0.66277
2015-01-27,0.65814
2015-01-28,0.65945
2015-01-29,0.66481
2015-01-30,0.6655
2015-02-02,0.6655
2015-02-03,0.66101
2015-02-04,0.65755
2015-02-05,0.65393
2015-02-06,0.65596
2015-02-09,0.6572
2015-02-10,0.65571
2015-02-11,0.6566
2015-02-12,0.65025
2015-02-13,0.64964
2015-02-17,0.65159
2015-02-18,0.64812
2015-02-19,0.64728
2015-02-20,0.65003
2015-02-23,0.64672
2015-02-24,0.6479699999999999
2015-02-25,0.64528
2015-02-26,0.6483300000000001
2015-02-27,0.64771
2015-03-02,0.65059
2015-03-03,0.64976
2015-03-04,0.65508
2015-03-05,0.65671
2015-03-06,0.6639
2015-03-09,0.66243
2015-03-10,0.66291
2015-03-11,0.66915
2015-03-12,0.67088
2015-03-13,0.67777
2015-03-16,0.6756800000000001
2015-03-17,0.6783
2015-03-18,0.68098
2015-03-19,0.67906
2015-03-20,0.6701600000000001
2015-03-23,0.66956
2015-03-24,0.6726
2015-03-25,0.67047
2015-03-26,0.67378
2015-03-27,0.6721199999999999
2015-03-30,0.6762100000000001
2015-03-31,0.6734100000000001
2015-04-01,0.67465
2015-04-02,0.67379
2015-04-06,0.6685300000000001
2015-04-07,0.67313
2015-04-08,0.6701699999999999
2015-04-09,0.67857
2015-04-10,0.68277
2015-04-13,0.68237
2015-04-14,0.67624
2015-04-15,0.6766
2015-04-16,0.67014
2015-04-17,0.66928
2015-04-20,0.67055
2015-04-21,0.66918
2015-04-22,0.66562
2015-04-23,0.66464
2015-04-24,0.65897
2015-04-27,0.65645
2015-04-28,0.6525
2015-04-29,0.6459199999999999
2015-04-30,0.65247
2015-05-01,0.66067
2015-05-04,0.66159
2015-05-05,0.65897
2015-05-06,0.65598
2015-05-07,0.65691
2015-05-08,0.6471399999999999
2015-05-11,0.64132
2015-05-12,0.63764
2015-05-13,0.63502
2015-05-14,0.63426
2015-05-15,0.6340399999999999
2015-05-19,0.64428
2015-05-20,0.64341
2015-05-21,0.63813
2015-05-22,0.64585
2015-05-25,0.64666
2015-05-26,0.64949
2015-05-27,0.65267
2015-05-28,0.65403
2015-05-29,0.65433
2015-06-01,0.6584800000000001
2015-06-02,0.65233
2015-06-03,0.65154
2015-06-04,0.65079
2015-06-05,0.6549699999999999
